"Timestamp","Rate each candidate [DeRose Alfred]","Rate each candidate [Trent Griffin]","Rate each candidate [Lešková Eva]","Rate each candidate [Staniševský Jiří]","Rate each candidate [Heřmanský Petr]","Rate each candidate [Simandl Jakub]","Rate each candidate [Štětinová Zuzana]"
"2022/03/22 1:37:43 PM GMT+2","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐ (1)"
"2022/03/22 1:44:17 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐ (2)","⭐⭐⭐ (3)","No opinion","No opinion"
"2022/03/22 2:00:30 PM GMT+2","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion"
"2022/03/22 2:00:35 PM GMT+2","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐ (1)","⭐ (1)"
"2022/03/22 2:19:03 PM GMT+2","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion"
"2022/03/22 2:24:26 PM GMT+2","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐ (1)"
"2022/03/22 2:24:27 PM GMT+2","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐ (2)","⭐⭐ (2)"
"2022/03/22 2:34:01 PM GMT+2","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)"
"2022/03/22 2:46:40 PM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2022/03/22 2:49:59 PM GMT+2","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
