Timestamp,Rate each candidate [Katarína Achbergerová],Rate each candidate [Jan Bartůněk],Rate each candidate [Mark Collis],Rate each candidate [Petr Kubát],Rate each candidate [Jan Mikula],Rate each candidate [Adam Petrovič],Rate each candidate [Tomáš Pilař],Rate each candidate [Griffin Trent],Rate each candidate [Marketa Tuláčková],Rate each candidate [Simona Tymichová]
9/24/2021 13:43:48,⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),No opinion,⭐ (1),⭐⭐⭐ (3),⭐⭐ (2),⭐ (1),⭐⭐⭐ (3),No opinion,No opinion
9/24/2021 13:45:08,⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐ (1),⭐⭐⭐⭐ (4),⭐⭐ (2),⭐⭐⭐⭐ (4),⭐ (1),⭐⭐⭐ (3)
9/24/2021 13:45:44,⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐ (2),⭐⭐ (2),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐ (2),⭐ (1),⭐ (1),⭐ (1)
9/24/2021 13:51:28,⭐⭐ (2),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5)
9/24/2021 13:52:16,⭐⭐⭐⭐⭐ (5),⭐⭐ (2),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐⭐⭐ (3),⭐⭐ (2),⭐ (1),⭐ (1)
9/24/2021 13:57:28,⭐⭐ (2),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐ (1)
9/24/2021 14:00:01,⭐ (1),⭐ (1),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5)
9/24/2021 14:07:31,⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),⭐ (1),No opinion,⭐⭐⭐⭐⭐ (5),⭐⭐ (2),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5)
9/24/2021 14:16:41,⭐ (1),⭐ (1),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5)
9/24/2021 14:52:00,⭐ (1),⭐ (1),⭐ (1),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐⭐⭐ (4),No opinion,⭐⭐⭐⭐⭐ (5)
