"Timestamp","Rate each candidate [Verhovyh Kira]","Rate each candidate [Winter Bram]","Rate each candidate [Zota Viktoriia]","Rate each candidate [Cicvárek Filip]","Rate each candidate [Bishell Craig]","Rate each candidate [Mykolayevych Taras]","Rate each candidate [Ciompa Přemysl]","Rate each candidate [Hořínek Jakub]","Rate each candidate [Dřevíkovská Barbora]","Rate each candidate [Vejmola Jiři]"
"2022/09/21 3:15:56 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)"
"2022/09/21 3:15:57 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)"
"2022/09/21 3:20:53 PM GMT+2","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)"
"2022/09/21 3:23:34 PM GMT+2","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐ (3)"
"2022/09/21 3:25:54 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐ (3)","⭐ (1)","No opinion","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐ (2)"
"2022/09/21 3:27:33 PM GMT+2","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","No opinion"
"2022/09/21 3:29:39 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)"
"2022/09/21 3:33:24 PM GMT+2","No opinion","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion"
"2022/09/21 3:43:51 PM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","No opinion","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","No opinion"
"2022/09/21 3:55:06 PM GMT+2","No opinion","⭐⭐⭐ (3)","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion"
