"Timestamp","Rate each candidate [Radek Zábranský]","Rate each candidate [Lara Orrico]","Rate each candidate [Jiří Vejmola]","Rate each candidate [Margarida Yokochi]","Rate each candidate [Roman Vaivod]","Rate each candidate [Petr Vacek]","Rate each candidate [Nik Page]","Rate each candidate [Radek Sojka]","Rate each candidate [Jan Kotrlík]"
"2023/03/24 3:00:20 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:03:28 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐ (1)","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","⭐ (1)","No opinion","No opinion"
"2023/03/24 3:04:19 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)"
"2023/03/24 3:04:34 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐ (2)","No opinion","No opinion"
"2023/03/24 3:08:33 PM GMT+2","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:09:49 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","No opinion","⭐⭐⭐⭐ (4)","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:11:25 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","No opinion","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:12:55 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:17:47 PM GMT+2","⭐⭐ (2)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:28:21 PM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:34:20 PM GMT+2","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐ (1)","⭐⭐ (2)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:34:22 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:35:22 PM GMT+2","⭐⭐⭐⭐ (4)","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:36:23 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐ (2)","⭐⭐ (2)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐ (3)"
"2023/03/24 3:37:38 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:44:14 PM GMT+2","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","No opinion"
"2023/03/24 3:56:47 PM GMT+2","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:57:57 PM GMT+2","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 3:59:36 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 4:01:16 PM GMT+2","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐ (2)","⭐⭐ (2)","⭐ (1)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)"
"2023/03/24 4:01:38 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)"
"2023/03/24 5:04:38 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 5:10:37 PM GMT+2","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 5:20:34 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 6:17:54 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 7:02:42 PM GMT+2","⭐⭐⭐ (3)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)"
"2023/03/24 7:41:08 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)"
"2023/03/25 5:34:19 PM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)"
"2023/03/27 12:16:16 AM GMT+2","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)"
"2023/03/28 8:39:59 AM GMT+2","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)"
